timestamp,signal,confidence,rf_signal,xgb_signal,lgb_signal,executed,blocked_by,current_price,atr
2026-02-23T12:06:02.867819+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66199.31,514.1
2026-02-23T12:07:03.050789+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66189.02,514.1
2026-02-23T12:08:03.232659+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66243.56,514.1
2026-02-23T12:09:03.416639+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66257.11,514.1
2026-02-23T12:10:03.564443+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66192.93,555.1
2026-02-23T12:11:03.742004+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66209.35,555.1
2026-02-23T12:12:03.918766+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66210.69,555.1
2026-02-23T12:13:04.088837+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66233.24,555.1
2026-02-23T12:14:04.283374+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66217.29,555.1
2026-02-23T12:15:04.465878+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66234.03,555.1
2026-02-23T12:16:04.722571+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66221.57,555.1
2026-02-23T12:17:04.921825+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66212.54,555.1
2026-02-23T12:18:05.140311+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66191.07,555.1
2026-02-23T12:19:05.305133+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66223.36,555.1
2026-02-23T12:20:05.476258+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66175.34,555.1
2026-02-23T12:21:05.664523+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66114.77,555.1
2026-02-23T12:22:05.849343+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66067.88,555.1
2026-02-23T12:23:06.043642+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66103.47,555.1
2026-02-23T12:24:06.225811+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66094.39,555.1
2026-02-23T12:25:06.410644+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66113.11,555.1
2026-02-23T12:26:06.585372+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66159.56,555.1
2026-02-23T12:27:08.021336+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66156.82,555.1
2026-02-23T12:28:08.211172+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66143.44,555.1
2026-02-23T12:29:08.402072+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66137.16,555.1
2026-02-23T12:30:08.593662+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66135.79,555.1
2026-02-23T12:31:08.771208+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66087.03,555.1
2026-02-23T12:32:16.001202+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66006.67,555.1
2026-02-23T12:33:16.189450+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,65969.54,555.1
2026-02-23T12:34:16.391028+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,65894.34,555.1
2026-02-23T12:35:16.585162+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66001.23,555.1
2026-02-23T12:36:16.788248+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66128.19,555.1
2026-02-23T12:37:16.991730+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66183.59,555.1
2026-02-23T12:38:17.206925+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66342.92,555.1
2026-02-23T12:39:17.426375+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66265.38,555.1
2026-02-23T12:40:17.636541+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66272.78,555.1
2026-02-23T12:41:17.834456+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66298.28,555.1
2026-02-23T12:42:18.022885+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66255.32,555.1
2026-02-23T12:43:18.217374+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66274.26,555.1
2026-02-23T12:44:18.430909+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66449.53,555.1
2026-02-23T12:45:18.624752+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66380.13,555.1
2026-02-23T12:46:18.821713+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66408.12,555.1
2026-02-23T12:47:19.021507+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66472.99,555.1
2026-02-23T12:48:19.186377+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66443.07,555.1
2026-02-23T12:49:19.375788+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66344.80,555.1
2026-02-23T12:50:19.547464+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66316.99,555.1
2026-02-23T12:51:19.741094+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66374.74,555.1
2026-02-23T12:52:19.925940+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66343.96,555.1
2026-02-23T12:53:20.090081+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66351.68,555.1
2026-02-23T12:54:20.276055+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66346.36,555.1
2026-02-23T12:55:20.463263+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66325.20,555.1
2026-02-23T12:56:20.652537+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66348.09,555.1
2026-02-23T12:57:20.822194+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66253.11,555.1
2026-02-23T12:58:20.995494+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66255.24,555.1
2026-02-23T12:59:21.184765+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66251.70,555.1
2026-02-23T13:00:22.193951+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66286.48,555.1
2026-02-23T13:01:22.395844+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66300.56,555.1
2026-02-23T13:02:22.591760+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66304.34,555.1
2026-02-23T13:03:22.827852+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66268.94,555.1
2026-02-23T13:04:23.013092+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66265.82,555.1
2026-02-23T13:05:23.196979+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66278.11,555.1
2026-02-23T13:06:23.419106+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66262.55,555.1
2026-02-23T13:07:23.611240+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66279.88,555.1
2026-02-23T13:08:23.844752+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66344.81,555.1
2026-02-23T13:09:24.038201+00:00,HOLD,55.4%,HOLD,HOLD,HOLD,False,confidence_gate,66351.09,555.1
2026-02-23T13:10:24.230204+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66332.37,547.9
2026-02-23T13:11:24.417191+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66322.07,547.9
2026-02-23T13:12:24.593415+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66303.14,547.9
2026-02-23T13:13:24.756463+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66230.21,547.9
2026-02-23T13:14:24.893867+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66211.47,547.9
2026-02-23T13:15:25.076444+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66219.58,547.9
2026-02-23T13:16:25.350994+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66202.51,547.9
2026-02-23T13:17:25.546392+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66214.72,547.9
2026-02-23T13:18:25.794548+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66147.33,547.9
2026-02-23T13:19:25.987398+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66185.84,547.9
2026-02-23T13:20:26.182027+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66210.49,547.9
2026-02-23T13:21:26.381096+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66216.04,547.9
2026-02-23T13:22:26.578871+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66211.28,547.9
2026-02-23T13:23:26.765757+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66194.66,547.9
2026-02-23T13:24:26.959679+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66197.75,547.9
2026-02-23T13:25:27.179621+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66209.70,547.9
2026-02-23T13:26:27.372231+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66146.20,547.9
2026-02-23T13:27:27.559320+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66173.83,547.9
2026-02-23T13:28:27.749087+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66246.57,547.9
2026-02-23T13:29:27.929626+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66240.30,547.9
2026-02-23T13:30:28.119490+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66221.48,547.9
2026-02-23T13:31:28.339550+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66256.46,547.9
2026-02-23T13:32:28.529765+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66202.21,547.9
2026-02-23T13:33:28.712584+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66247.72,547.9
2026-02-23T13:34:28.897361+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66211.10,547.9
2026-02-23T13:35:29.083456+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66218.39,547.9
2026-02-23T13:36:29.284813+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66225.86,547.9
2026-02-23T13:37:29.477447+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66183.84,547.9
2026-02-23T13:38:29.672016+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66168.48,547.9
2026-02-23T13:39:29.883305+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66158.29,547.9
2026-02-23T13:40:30.080020+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66222.13,547.9
2026-02-23T13:41:30.283373+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66224.10,547.9
2026-02-23T13:42:30.486410+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66256.36,547.9
2026-02-23T13:43:30.693252+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66402.45,547.9
2026-02-23T13:44:30.886584+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66333.53,547.9
2026-02-23T13:45:31.070109+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66335.76,547.9
2026-02-23T13:46:31.224384+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66334.17,547.9
2026-02-23T13:47:31.453213+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66327.70,547.9
2026-02-23T13:48:31.622896+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66324.41,547.9
2026-02-23T13:49:31.803923+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66370.23,547.9
2026-02-23T13:50:31.973553+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66353.25,547.9
2026-02-23T13:51:32.165779+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66330.78,547.9
2026-02-23T13:52:32.396902+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66333.00,547.9
2026-02-23T13:53:32.581888+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66362.50,547.9
2026-02-23T13:54:32.747672+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66311.82,547.9
2026-02-23T13:55:32.945754+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66179.37,547.9
2026-02-23T13:56:33.124720+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66167.56,547.9
2026-02-23T13:57:33.309765+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66161.05,547.9
2026-02-23T13:58:33.480553+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66117.05,547.9
2026-02-23T13:59:33.648553+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66136.91,547.9
2026-02-23T14:00:34.802942+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66174.73,547.9
2026-02-23T14:01:34.970156+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66177.00,547.9
2026-02-23T14:02:35.179989+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66182.55,547.9
2026-02-23T14:03:35.369567+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66119.81,547.9
2026-02-23T14:04:35.570237+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66168.81,547.9
2026-02-23T14:05:35.750946+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66227.93,547.9
2026-02-23T14:06:35.933636+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66239.08,547.9
2026-02-23T14:07:36.148022+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66224.32,547.9
2026-02-23T14:08:36.385134+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66255.39,547.9
2026-02-23T14:09:36.563634+00:00,HOLD,56.3%,HOLD,HOLD,HOLD,False,confidence_gate,66233.83,547.9
2026-02-23T14:10:36.735035+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66247.51,566.7
2026-02-23T14:11:36.904083+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66263.43,566.7
2026-02-23T14:12:37.083243+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66201.82,566.7
2026-02-23T14:13:37.260540+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66242.50,566.7
2026-02-23T14:14:37.519320+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66257.09,566.7
2026-02-23T14:15:37.710386+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66239.25,566.7
2026-02-23T14:16:37.971116+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66200.48,566.7
2026-02-23T14:17:38.156781+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66208.41,566.7
2026-02-23T14:18:38.372621+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66172.58,566.7
2026-02-23T14:19:38.556347+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66134.99,566.7
2026-02-23T14:20:38.748967+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66120.07,566.7
2026-02-23T14:21:38.926282+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66110.42,566.7
2026-02-23T14:22:39.121477+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66085.10,566.7
