date,trades_taken,buys,sells,wins,losses,win_rate,profit_factor,daily_pnl,signals_generated,signals_blocked,account_balance
2026-02-23,0,0,0,0,0,0.0%,0.00,0.00,760,713,0.00
2026-02-24,0,0,0,0,0,0.0%,0.00,0.00,1063,1063,0.00
2026-02-25,0,0,0,0,0,0.0%,0.00,0.00,292,292,49650.37
2026-02-25,0,0,0,0,0,0.0%,0.00,0.00,174,174,0.00
2026-02-26,0,0,0,0,0,0.0%,0.00,0.00,250,250,49647.60
