timestamp_open,timestamp_close,direction,entry_price,exit_price,sl_price,tp_price,pnl_dollars,confidence,rf_signal,xgb_signal,lgb_signal,exit_reason,bars_held,atr_at_entry
,2026-02-23T09:10:18.653699+00:00,BUY,65982.62,65807.91,0.00,0.00,0.00,88.5%,HOLD,SELL,SELL,Reversal,0,519.3
,2026-02-23T09:10:26.582918+00:00,BUY,65983.01,65802.03,0.00,0.00,0.00,88.5%,HOLD,SELL,SELL,Reversal,0,519.3
