date,trades_taken,buys,sells,wins,losses,win_rate,profit_factor,daily_pnl,signals_generated,signals_blocked,account_balance
2026-02-22,0,0,0,0,0,0.0%,0.00,0.00,515,455,0.00
2026-02-23,0,0,0,0,0,0.0%,0.00,0.00,216,212,49643.90
2026-02-23,0,0,0,0,0,0.0%,0.00,0.00,207,206,49643.90
2026-02-23,1,1,0,0,1,0.0%,0.00,0.00,1116,1013,0.00
